iter	RMSE
0	52.78763257
1	52.63963038
2	52.51290138
3	52.24533826
4	51.91683094
5	51.64280987
6	51.45120452
7	51.27610454
8	51.02094119
9	50.91527348
10	50.87291188
11	50.81688189
12	50.77360817
13	50.71514145
14	50.64603832
15	50.04935317
16	49.92157376
17	49.82885582
18	49.68874182
19	49.56955362
20	49.33395209
21	49.29442439
22	49.07651208
23	49.07026577
24	49.05727007
25	48.86806544
26	48.63443095
27	48.58647644
28	48.40398045
29	48.34090263
30	48.26214029
31	48.12126827
32	47.93736976
33	47.71095396
34	47.62706671
35	47.60653562
36	47.49812456
37	47.31692068
38	47.31573845
39	47.30300583
40	47.20027452
41	47.1373919
42	46.94652394
43	46.92667027
44	46.83372409
45	46.82008964
46	46.75123162
47	46.70114529
48	46.63542163
49	46.61383662
50	46.53167202
51	46.51149657
52	46.49628779
53	46.41965446
54	46.40234539
55	46.33908248
56	46.31763361
57	46.31694893
58	45.93687884
59	45.90949278
60	45.85889984
61	45.7623403
62	45.52712981
63	45.50344965
64	45.39577899
65	45.3445498
66	45.28576455
67	45.21072614
68	45.15175548
69	45.10031998
70	45.04891352
71	45.03499462
72	44.81399798
73	44.7983556
74	44.77493065
75	44.6450409
76	44.6005714
77	44.56038442
78	44.53403888
79	44.1599244
80	44.15318831
81	44.01013893
82	44.00133249
83	43.98955852
84	43.97038034
85	43.92402516
86	43.86286058
87	43.71101994
88	43.65361137
89	43.59930112
90	43.37787423
91	43.17348178
92	43.16671647
93	43.16278578
94	43.10531057
95	43.09435757
96	42.98849184
97	42.98339025
98	42.96550347
99	42.64462764
100	42.63080575
101	42.55158772
102	42.54584259
103	42.27540807
104	42.27013286
105	42.21276342
106	42.18498566
107	42.01170285
108	41.98807752
109	41.92215636
110	41.70112528
111	41.47784966
112	41.36863014
113	41.31452089
114	41.24224304
115	41.10600811
116	41.05798431
117	41.05357511
118	41.05000971
119	41.00424058
120	40.7679788
121	40.74820509
122	40.67312167
123	40.46879562
124	40.31527836
125	40.15600466
126	39.94677861
127	39.90537048
128	39.88062605
129	39.83491759
130	39.80998356
131	39.80221331
132	39.79921638
133	39.72205121
134	39.50004685
135	39.4913913
136	39.46946918
137	39.4663873
138	39.39912499
139	39.37495754
140	39.36154115
141	39.34921901
142	39.33048794
143	39.32831062
144	39.32733956
145	39.32561982
146	39.09292214
147	39.08450141
148	39.05611839
149	39.0342255
150	39.01053926
151	38.88955355
152	38.88061497
153	38.77478802
154	38.76742434
155	38.76676037
156	38.74126047
157	38.63243029
158	38.6276397
159	38.59354623
160	38.59321057
161	38.54661927
162	38.5421323
163	38.35690314
164	38.24808337
165	38.05406077
166	37.86404275
167	37.86031918
168	37.85704854
169	37.85277316
170	37.85024193
171	37.84674593
172	37.84363193
173	37.84321405
174	37.75921179
175	37.74343373
176	37.64878738
177	37.52387419
178	37.48425645
179	37.43763994
180	37.39970887
181	37.39804894
182	37.38305115
183	37.33431433
184	37.29788737
185	37.24240485
186	37.19358551
187	37.06871212
188	36.94905395
189	36.94870335
190	36.94841421
191	36.94804653
192	36.94770503
193	36.94663042
194	36.94405532
195	36.76376423
196	36.72959762
197	36.71853539
198	36.60114882
199	36.59177997
200	36.58232939
201	36.57516942
202	36.3713463
203	36.33363791
204	36.33332652
205	36.2280634
206	35.90609481
207	35.89335862
208	35.85081762
209	35.7272396
210	35.66404173
211	35.64320891
212	35.64008529
213	35.63713608
214	35.63681506
215	35.63431999
216	35.63201715
217	35.62186328
218	35.60154567
219	35.59953016
220	35.48923239
221	35.4803369
222	35.47199173
223	35.46791624
224	35.46042332
225	35.43521352
226	35.40677388
227	35.40477224
228	35.4019044
229	35.39829373
230	35.39725288
231	35.39704732
232	35.39335416
233	35.38369167
234	35.32727682
