iter	Passed	Remaining
407	5893	716366
408	5906	716138
409	5920	716103
410	5934	716081
411	5946	715731
412	5968	716633
413	5981	716388
414	5990	715713
415	6004	715633
416	6024	716288
417	6040	716512
418	6058	716884
419	6076	717266
420	6090	717277
421	6108	717595
422	6124	717760
423	6133	717112
424	6148	717194
425	6163	717219
426	6178	717289
427	6196	717641
428	6206	717217
429	6219	716951
430	6237	717348
431	6253	717530
432	6267	717423
433	6279	717111
434	6292	716993
435	6306	716900
436	6322	717058
437	6337	717117
438	6354	717410
439	6370	717588
440	6383	717417
441	6398	717454
442	6411	717261
443	6424	717101
444	6439	717083
445	6453	717084
446	6472	717514
447	6486	717489
448	6503	717683
449	6523	718297
450	6537	718215
451	6550	718019
452	6562	717829
453	6587	718923
454	6603	719099
455	6620	719257
456	6632	719029
457	6645	718882
458	6659	718803
459	6675	718967
460	6689	718897
461	6706	719124
462	6720	719078
463	6734	718987
464	6749	718998
465	6761	718772
466	6775	718690
467	6790	718692
468	6806	718854
469	6820	718730
470	6833	718627
471	6849	718694
472	6864	718819
473	6881	719051
474	6901	719564
475	6919	719929
476	6931	719616
477	6950	720067
478	6968	720398
479	6985	720705
480	7000	720697
481	7020	721267
482	7039	721698
483	7054	721708
484	7069	721728
485	7084	721797
486	7100	721947
487	7114	721849
488	7129	721898
489	7145	721947
490	7159	721871
491	7171	721689
492	7185	721610
493	7198	721428
494	7216	721701
495	7233	721940
496	7246	721800
497	7258	721510
498	7275	721722
499	7289	721619
500	7301	721422
501	7314	721203
502	7329	721296
503	7343	721160
504	7357	721143
505	7379	721807
506	7398	722282
507	7415	722462
508	7435	722930
509	7450	722945
510	7467	723233
511	7484	723466
512	7497	723212
513	7513	723374
514	7522	722820
515	7536	722707
516	7554	723028
517	7578	723940
518	7592	723829
519	7604	723555
520	7614	723158
521	7627	722994
522	7642	722968
523	7652	722503
524	7666	722480
525	7682	722548
526	7695	722449
527	7708	722236
528	7718	721785
529	7730	721587
530	7742	721272
531	7756	721253
532	7773	721448
533	7789	721527
534	7803	721503
535	7817	721422
